Country,State / Province,City / Region,Tourist Place,Category,Subcategory,Best Season,UNESCO,Description,Latitude,Longitude,Altitude
Cambodia,Kampot,Kampot,Kampot River,River,"Nature, Scenic",Nov–Feb,No,Picturesque river flowing through Kampot and providing opportunities for boat trips and riverside recreation.,10.61,104.18,5
Cambodia,Kep,Kep,Kep National Park,National Park,"Mountains, Forest, Hiking",Nov–Feb,No,"Compact coastal national park featuring forest trails, hills and views over the Gulf of Thailand.",10.48,104.32,100
Cambodia,Kep,Kep,Kep Beach,Beach,"Coastal, Relaxation",Nov–Apr,No,Popular coastal beach destination known for its relaxed atmosphere and seafood restaurants.,10.483,104.317,5
Cambodia,Kep,Kep,Rabbit Island,Island,"Beach, Nature",Nov–Apr,No,"Tropical island off Kep offering quiet beaches, simple accommodation and a laid-back atmosphere.",10.437,104.347,5
Cambodia,Battambang,Battambang,Phnom Sampeau,Mountain,"Caves, Religious, History",Nov–Feb,No,"Limestone hill containing temples, caves and historical memorial sites overlooking the surrounding countryside.",13.033,103.1,100
Cambodia,Battambang,Battambang,Battambang Bamboo Train,Cultural Attraction,"Transport, Experience",Nov–Feb,No,Popular tourism experience based on Cambodia's historic lightweight railway carts.,13.1,103.2,40
Cambodia,Battambang,Battambang,Wat Banan,Temple,"Archaeological, Religious",Nov–Feb,No,Hilltop Khmer temple reached by a long staircase and offering expansive views of the countryside.,12.967,103.15,100
Cambodia,Battambang,Battambang,Phnom Banan,Mountain,"Hiking, Archaeology",Nov–Feb,No,Scenic hill associated with the Angkorian-era Wat Banan temple complex.,12.967,103.15,100
Cambodia,Preah Vihear,Preah Vihear,Preah Vihear Temple,Temple,"Archaeological, Religious",Nov–Feb,Yes,Spectacular Khmer temple complex dramatically positioned on a mountain ridge overlooking the Cambodian landscape.,14.393,104.68,525
Cambodia,Koh Kong,Koh Kong,Botum Sakor National Park,National Park,"Rainforest, Wildlife",Nov–Feb,No,"One of Cambodia's largest protected areas, containing rainforest, wetlands, mangroves and diverse wildlife.",11.1,103.3,50
Cambodia,Koh Kong,Koh Kong,Tatai Waterfalls,Waterfall,"Nature, Adventure",Jun–Nov,No,Forest waterfall destination surrounded by the tropical landscapes of southwestern Cambodia.,11.567,103.117,50
Cambodia,Ratanakiri,Banlung,Yeak Laom Lake,Lake,"Volcanic, Nature",Nov–Feb,No,Beautiful volcanic crater lake surrounded by forest and indigenous communities near Banlung.,13.73,107.017,300
Cambodia,Ratanakiri,Banlung,Virachey National Park,National Park,"Rainforest, Wildlife, Mountains",Nov–Feb,No,"Remote protected wilderness containing dense forests, mountains and diverse wildlife.",14.2,107,400
Cambodia,Mondulkiri,Sen Monorom,Bou Sra Waterfall,Waterfall,"Nature, Adventure",Jun–Nov,No,"One of Cambodia's best-known waterfalls, surrounded by the forested highlands of Mondulkiri.",12.567,107.417,700
Cambodia,Mondulkiri,Sen Monorom,Mondulkiri Project,Wildlife,"Elephants, Conservation",Nov–Feb,No,Ethical wildlife tourism project focused on elephant conservation and protection in Cambodia's eastern highlands.,12.45,107.2,700
